School ID,Institution me,Median Graduate Debt,Number of Undergraduates
1563,University of Maine at Augusta,21335.5,4306
1564,University of Maine at Farmington,27000,1858
1565,University of Maine at Fort Kent,19973,913
1566,University of Maine at Machias,21250,596
1567,University of Maine,27000,8619
1568,Maine Maritime Academy,27000,994
1569,University of Maine at Presque Isle,22012.5,924
1570,University of New England,27000,2179
1573,Maine College of Art,27000,375
1574,Saint Joseph's College of Maine,27000,1276
1577,University of Southern Maine,24250,6079
1578,Thomas College,23000,846
1579,Unity College,27000,553
1589,University of Baltimore,20500,3479
1590,Bowie State University,23320,4313
1591,Capitol College,23000,430
1595,Washington Adventist University,31250,951
1596,Coppin State University,19031,2880
1600,Frostburg State University,22617.5,4575
1602,Goucher College,25000,1444
1603,Kaplan University-Hagerstown Campus,30500,845
1606,Hood College,27000,1347
1609,Johns Hopkins University,18500,5932
1612,Loyola University Maryland,27000,3972
1614,University of Maryland-University College,21000,26006
1615,University of Maryland-Baltimore,14500,738
1616,University of Maryland-Baltimore County,21500,11012
1617,University of Maryland-College Park,19500,26045
1618,Maryland Institute College of Art,27000,1892
1619,University of Maryland Eastern Shore,27500,3421
1623,Morgan State University,31000,6197
1624,Mount St Mary's University,27000,1729
1625,Ner Israel Rabbinical College,,340
1627,Notre Dame of Maryland University,27500,1220
1632,Salisbury University,20443,7767
1633,St Mary's College of Maryland,21671.5,1794
1634,Sojourner-Douglass College,35500,1037
1635,St John's College,25500,443
1637,Towson University,19000,18534
1638,Maryland University of Integrative Health,,
1640,Stevenson University,25000,3923
1641,Washington College,27000,1424
1642,McDaniel College,27000,1662
1644,Hult Intertiol Business School,,
1645,New England College of Business and Fince,20704,918
1646,American Intertiol College,27000,1513
1647,Amherst College,11185.5,1785
1648,Andover Newton Theological School,,
1649,An Maria College,26000,1135
1651,Assumption College,27000,2181
1652,Babson College,27000,2106
1654,Boston Baptist College,26826,83
1655,Bay Path College,21538.5,1454
1656,Bay State College,25250,1196
1658,Becker College,27166,1871
1659,Bentley University,27000,4172
1660,Berklee College of Music,27000,4402
1663,Boston Architectural College,45202,423
1664,Boston Graduate School of Psychoalysis Inc,,
1665,Boston College,19000,9465
1666,The Boston Conservatory,27000,545
1667,Boston University,27000,16460
1668,Brandeis University,27000,3603
1669,Bridgewater State University,24998,9489
1673,Cambridge College,24500,1042
1676,Laboure College,28150,680
1677,Clark University,26000,2312
1678,Conway School of Landscape Design,,
1679,Curry College,26000,2794
1681,Dean College,17500,1238
1684,Eastern zarene College,27000,1313
1685,Emerson College,23312,3720
1686,Emmanuel College,27000,2040
1687,Endicott College,27000,2621
1688,Episcopal Divinity School,,
1690,Fisher College,19545,1733
1691,Fitchburg State University,21750,4148
1692,Framingham State University,23853,4255
1693,Benjamin Franklin Institute of Technology,12000,463
1694,Gordon College,27000,1681
1695,Gordon-Conwell Theological Semiry,,
1698,Hampshire College,20000,1468
1699,Harvard University,6000,7278
1700,Hebrew College,,4
1701,Hellenic College-Holy Cross Greek Orthodox School of Theology,16267.5,92
1703,College of the Holy Cross,27000,2878
1709,Lasell College,26000,1667
1711,Lesley University,25000,1785
1713,University of Massachusetts-Lowell,25000,11830
1717,University of Massachusetts-Amherst,24250,21672
1718,University of Massachusetts-Boston,,11786
1720,MCPHS University,25000,3808
1721,Massachusetts College of Art and Design,26000,1861
1722,Massachusetts Institute of Technology,13645,4510
1723,Massachusetts Maritime Academy,27000,1362
1724,University of Massachusetts Medical School Worcester,12000,
1725,Massachusetts School of Professiol Psychology,,
1728,Merrimack College,27000,2722
1729,MGH Institute of Health Professions,25000,160
1731,Montserrat College of Art,27000,378
1732,Mount Holyoke College,21000,2154
1733,Mount Ida College,27000,1261
1736,School of the Museum of Fine Arts-Boston,25125,340
1739,The New England Conservatory of Music,28626,410
1740,New England College of Optometry,,
1741,New England School of Acupuncture,,
1742,New England School of Law,,
1744,Newbury College,27000,961
1745,Nichols College,27000,1260
1746,Massachusetts College of Liberal Arts,25000,1483
1749,The New England Institute of Art,29444,779
1750,Northeastern University,28804.5,13204
1752,College of Our Lady of the Elms,27000,1308
1753,Pine Manor College,32000,221
1754,Blessed John XXIII tiol Semiry,,
1757,Regis College,27000,1188
1759,Saint John's Semiry,,35
1760,Salem State University,25428,7134
1762,Simmons College,26000,1710
1763,Bard College at Simon's Rock,20500,344
1764,Smith College,19500,2606
1766,Springfield College,25000,2157
1768,University of Massachusetts-Dartmouth,25921,7202
1769,Stonehill College,27000,2473
1770,Suffolk University,27000,5535
1772,Tufts University,18125,5146
1773,Wellesley College,8225,2347
1774,Wentworth Institute of Technology,27000,3975
1775,Western New England University,27000,2648
1776,Westfield State University,23026,5524
1777,Wheaton College,24000,1640
1778,Wheelock College,27000,839
1779,Williams College,12005,2051
1780,Worcester Polytechnic Institute,27000,4012
1781,Worcester State University,19503,5033
1782,Adrian College,27000,1616
1783,Albion College,27000,1284
1786,Alma College,27000,1385
1788,Andrews University,29500,1765
1789,Aquis College,25000,1843
1790,Baker College of Owosso,24314.5,2726
1791,Baker College of Flint,24314.5,4886
1795,Calvin College,26870,3895
1796,Calvin Theological Semiry,,
1798,Michigan School of Professiol Psychology,,
1799,Central Michigan University,27000,20070
1802,Cleary University,26125,450
1803,Concordia University-Ann Arbor,26750,529
1804,Cranbrook Academy of Art,,
1805,College for Creative Studies,28250,1352
1806,Davenport University,30250,7119
1810,Michigan State University-College of Law,,
1812,University of Detroit Mercy,25000,2871
1815,Eastern Michigan University,26000,18543
1816,Ferris State University,25522,12646
1819,Kettering University,26761.5,1640
1821,Grace Bible College,23374,576
1822,Cornerstone University,23469,2100
1825,Grand Valley State University,26500,21137
1826,Great Lakes Christian College,,194
1828,Hope College,27000,3296
1829,ITT Technical Institute-Wyoming,25833.5,343
1832,Kalamazoo College,27000,1427
1838,Lake Superior State University,25869,2299
1840,Lawrence Technological University,27850,3033
1843,Madon University,25000,3080
1844,Marygrove College,35000,1041
1845,Rochester College,21500,960
1846,University of Michigan-Ann Arbor,22000,28077
1848,Michigan State University,25714,37622
1849,Michigan Technological University,27000,5536
1850,University of Michigan-Dearborn,25000,6793
1851,University of Michigan-Flint,28376.5,6746
1856,Baker College of Muskegon,24314.5,3988
1861,Northern Michigan University,22319,7959
1864,Northwood University-Michigan,23474.5,2920
1866,Oakland University,25000,16113
1867,Olivet College,27000,1016
1869,Kuyper College,25500,283
1873,Sacred Heart Major Semiry,,154
1874,Sagiw Valley State University,27000,8687
1876,Sie Heights University,18750,2325
1880,Spring Arbor University,24850,2860
1882,Finlandia University,27500,498
1883,Thomas M Cooley Law Schoo,,
1885,Walsh College of Accountancy and Business Administration,16485,967
1888,Wayne State University,21500,17789
1890,Western Michigan University,27000,18755
1891,Western Theological Semiry,,
1893,Academy College,36387,140
1898,Augsburg College,27000,2661
1901,Bemidji State University,21500,4397
1902,Bethany Lutheran College,25000,552
1903,Bethel University,23950,3178
1904,Bethel Semiry-St Paul,23950,
1906,Carleton College,17500,2023
1907,Concordia College at Moorhead,27000,2464
1908,Concordia University-Saint Paul,23000,1927
1910,Martin Luther College,20250,729
1913,Duluth Business University,29500,201
1915,Globe University-Woodbury,27000,845
1917,Gustavus Adolphus College,27000,2439
1918,Hamline University,25018.5,2108
1919,Hazelden Graduate School of Addiction Studies,,0
1926,The Art Institutes Intertiol-Minnesota,30609,1161
1927,Luther Semiry,,
1928,Macalester College,23501.5,2029
1930,Minnesota State University-Mankato,23029,12542
1932,Mayo Medical School,9250,
1933,Mayo School of Health Sciences,9250,131
1934,Argosy University-Twin Cities,14323,1113
1936,Metropolitan State University,18750,7322
1937,University of Minnesota-Twin Cities,21500,30271
1938,University of Minnesota-Crookston,20000,1813
1940,Minneapolis College of Art and Design,27000,683
1942,Herzing University-Minneapolis,22822,262
1944,Crossroads College,27000,97
1945,University of Minnesota-Duluth,25000,9239
1946,University of Minnesota-Morris,20000,1846
1947,Minnesota School of Business-Richfield,31061.5,896
1949,Minnesota State University-Moorhead,23055.5,5912
1951,tiol American University-Roseville,34486,369
1952,Brown College-Mendota Heights,30500,237
1954,North Central University,27000,1106
1957,University of Northwestern-St Paul,22430,2038
1958,Northwestern Health Sciences University,5850,113
1959,Oak Hills Christian College,23600,126
1964,College of Saint Benedict,26337,2051
1967,Saint Cloud State University,23250,11535
1968,Saint Johns University,27000,1871
1969,Saint Mary's University of Minnesota,23000,1897
1970,St Olaf College,26531,3079
1971,Crown College,27000,1095
1972,The College of Saint Scholastica,23000,2858
1973,University of St Thomas,26500,6246
1975,St Catherine University,28500,3479
1976,Rasmussen College-Minnesota,23203,4742
1978,Southwest Minnesota State University,24200,2426
1980,United Theological Semiry of the Twin Cities,,
1982,Dunwoody College of Technology,16733.5,1065
1985,Wino State University,24000,8079
1986,William Mitchell College of Law,,
1988,Alcorn State University,27940.5,3157
1989,Belhaven University,31250,2487
1990,Blue Mountain College,,497
1997,Delta State University,21300,2638
2005,Jackson State University,31000,6880
2008,Millsaps College,27000,734
2010,University of Mississippi,21500,16432
2011,University of Mississippi Medical Center,21500,699
2012,Mississippi University for Women,16473,2252
2013,Mississippi Valley State University,29038,1856
2014,Mississippi College,26250,2895
2017,Mississippi State University,23250,16399
2021,Rust College,23974,922
2022,Southeastern Baptist College,,37
2024,University of Southern Mississippi,25000,12371
2026,Tougaloo College,34500,877
2027,Wesley Biblical Semiry,,
2028,William Carey University,23978.5,2166
2030,Aquis Institute of Theology,,
2031,Assemblies of God Theological Semiry,22975,
2032,Avila University,26500,1336
2033,ITT Technical Institute-Earth City,25833.5,602
2034,Baptist Bible College,19950,305
2036,Cox College,22082,832
2037,Calvary Bible College and Theological Semiry,19105,251
2039,Central Christian College of the Bible,15000,297
2040,Central Methodist University-College of Liberal Arts and Sciences,17285,1104
2041,University of Central Missouri,23450,9160
2044,Cleveland University-Kansas City,8625,66
2046,Columbia College,23470,15498
2047,Conception Semiry College,,90
2048,Concordia Semiry,,
2049,Cottey College,12000,277
2050,Covent Theological Semiry,,
2052,Culver-Stockton College,25500,809
2053,Drury University,23500,4001
2055,Eden Theological Semiry,,
2058,Evangel University,22975,2071
2059,Fontbonne University,27750,1242
2060,Forest Institute of Professiol Psychology,,
2063,Hannibal-LaGrange University,19875,921
2064,Harris-Stowe State University,24712.5,1266
2065,Hickey College,17346.5,372
2070,Barnes-Jewish College Goldfarb School of Nursing,20000,654
2071,Kansas City Art Institute,27000,735
2072,Kenrick Glennon Semiry,,54
2073,A T Still University of Health Sciences,,
2076,Lincoln University,26625,2268
2077,Lindenwood University,27000,7928
2079,Logan University,7050,49
2082,Maryville University of Saint Louis,24990,2746
2086,Midwestern Baptist Theological Semiry,16750,255
2088,Westwood College-O'Hare Airport,31126,298
2089,Missouri Baptist University,22000,1710
2091,Missouri College,9500,547
2093,Missouri Southern State University,21500,5132
2094,Missouri Tech,30500,108
2095,Missouri Valley College,26800,1411
2096,Missouri Western State University,23306,4902
2097,University of Missouri-Columbia,22500,26585
2098,University of Missouri-Kansas City,21187,8309
2099,Missouri University of Science and Technology,25000,6064
2100,University of Missouri-St Louis,22000,8928
2104,zarene Theological Semiry,,
2107,Truman State University,21894,5482
2108,Northwest Missouri State University,24490,5274
2109,Ozark Christian College,19000,742
2110,College of the Ozarks,,1513
2111,Park University,21126,9723
2112,Stevens Institute of Business & Arts,32345,172
2114,Ranken Technical College,13300,2097
2115,Research College of Nursing,15000,281
2116,Rockhurst University,20162.5,1682
2118,Everest College-Springfield,28257.5,303
2119,Saint Louis University,25000,7961
2121,Sanford-Brown College-Fenton,19012,216
2124,Saint Louis Christian College,24000,219
2125,St Louis College of Pharmacy,17500,723
2127,Saint Paul School of Theology,,
2128,Southwest Baptist University,21220,2515
2131,Saint Luke's College of Health Sciences,23800,375
2134,Stephens College,26250,646
2135,Southeast Missouri State University,22459,9382
2136,Missouri State University-Springfield,22375,15746
2141,Kansas City University of Medicine and Biosciences,,
2142,Washington University in St Louis,20125,6851
2143,Webster University,25000,3398
2145,Westminster College,27000,1022
2146,William Jewell College,26000,1044
2147,William Woods University,22650.5,1001
2153,Carroll College,27000,1376
2156,Monta State University-Billings,19000,4234
2161,University of Great Falls,25000,1032
2166,Monta Tech of the University of Monta,19495.5,1825
2167,Monta State University,24801,13055
2168,The University of Monta,24776.5,11630
2169,Monta State University-Northern,18022.5,1250
2170,Rocky Mountain College,26000,961
2171,Salish Kootei College,11140,809
2172,The University of Monta-Western,25523.5,1452
2174,Bellevue University,18000,6134
2175,Clarkson College,27245,778
2176,Bryan College of Health Sciences,26210,593
2178,Chadron State College,20401,2131
2180,Concordia University-Nebraska,25000,1185
2181,Creighton University,23750,3943
2182,Doane College-Crete,22529,1111
2183,Grace University,19500,410
2184,Hastings College,27000,1060
2187,University of Nebraska at Kearney,21697,5247
2188,Kaplan University-Lincoln Campus,30500,471
2189,Nebraska Methodist College of Nursing & Allied Health,25000,740
2192,Midland University,24250,1189
2193,Nebraska Christian College,27000,150
2194,University of Nebraska at Omaha,21000,12153
2195,Kaplan University-Omaha Campus,30500,728
2197,University of Nebraska Medical Center,16000,810
2198,Nebraska Wesleyan University,27000,1892
2199,University of Nebraska-Lincoln,22500,19376
2201,Peru State College,21282,1534
2202,College of Saint Mary,25500,691
2204,Union College,27250,759
2207,Wayne State College,21270,2900
2210,York College,27000,456
2213,College of Southern Nevada,12662,29848
2214,The Art Institute of Las Vegas,21599,1097
2217,University of Nevada-Las Vegas,19491,22742
2218,University of Nevada-Reno,18743.5,15310
2219,Great Basin College,12000,2387
2221,Morrison University,9500,374
2222,Sierra Nevada College,22500,476
2224,Western Nevada College,13000,3511
2225,Colby-Sawyer College,27000,1395
2227,Daniel Webster College,27000,626
2228,Dartmouth College,11625,4154
2231,Franklin Pierce University,27000,1664
2232,University of New Hampshire-School of Law,,
2233,Mount Washington College,15875,2273
2237,New England College,27000,1465
2239,Southern New Hampshire University,22500,17172
2241,University of New Hampshire-Main Campus,27000,12288
2242,Keene State College,26000,4643
2243,University of New Hampshire at Manchester,27000,781
2244,Plymouth State University,27000,3986
2253,Rivier University,27000,1524
2254,Saint Anselm College,27000,1912
2256,Granite State College,17665,1680
2257,Thomas More College of Liberal Arts,27000,80
2262,Berkeley College-Woodland Park,21086,3667
2263,Beth Medrash Govoha,5500,2766
2264,Bloomfield College,31000,1906
2267,Caldwell College,26499,1570
2269,Centery College,25000,1708
2280,Drew University,27000,1453
2285,Fairleigh Dickinson University-Metropolitan Campus,25000,3915
2286,Felician College,25000,1618
2287,Fairleigh Dickinson University-College at Florham,25000,2242
2289,Georgian Court University,25537.5,1398
2290,Rowan University,21146,10656
2297,New Jersey City University,18000,6373
2299,Kean University,24000,11975
2305,Monmouth University,26749,4557
2306,Montclair State University,23875,15182
2311,New Brunswick Theological Semiry,,
2313,New Jersey Institute of Technology,21182.5,6449
2320,Princeton Theological Semiry,,
2321,Princeton University,6810,5234
2322,Rabbinical College of America,,239
2323,Ramapo College of New Jersey,22193,5397
2325,Rider University,27000,4041
2327,Rutgers University-Camden,22250,4777
2328,Rutgers University-New Brunswick,22250,33427
2329,Rutgers University-Newark,22250,6748
2332,Saint Peter's University,25000,2369
2334,Seton Hall University,25000,5632
2336,College of Saint Elizabeth,22500,947
2338,Stevens Institute of Technology,27000,2662
2339,The Richard Stockton College of New Jersey,21500,7491
2340,Talmudical Academy-New Jersey,,68
2342,Thomas Edison State College,11289.5,19596
2343,The College of New Jersey,23196,6446
2346,William Paterson University of New Jersey,25382,9930
2349,vajo Technical University,,1654
2353,Eastern New Mexico University-Main Campus,16166,3767
2355,Institute of American Indian and Alaska tive Culture,,225
2356,New Mexico Highlands University,13624,2221
2360,New Mexico Institute of Mining and Technology,16083,1490
2362,University of New Mexico-Main Campus,20500,20847
2366,New Mexico State University-Main Campus,19500,12886
2368,Northern New Mexico College,7750,1173
2371,Santa Fe University of Art and Design,23461,659
2372,University of the Southwest,27500,318
2373,Southwestern College,,
2378,Western New Mexico University,17658,2166
2379,Vaughn College of Aeroutics and Technology,22000,1721
2380,Adelphi University,25000,5000
2382,Globe Institute of Technology,8995,551
2384,Albany College of Pharmacy and Health Sciences,25000,1075
2385,Albany Law School,,
2386,Albany Medical College,,
2387,Alfred University,27000,1905
2393,American Musical and Dramatic Academy,16000,1365
2398,Bank Street College of Education,,
2399,Bard College,24000,1957
2400,Barrd College,17493,2486
2402,Berkeley College-New York,29687.5,4551
2403,Beth Hatalmud Rabbinical College,,47
2404,Beth Hamedrash Shaarei Yosher Institute,,49
2407,Boricua College,7900,1050
2409,Briarcliffe College,29001,1885
2412,Brooklyn Law School,,
2414,Bryant & Stratton College-Amherst,24260.5,400
2417,Bryant & Stratton College-Buffalo,24260.5,716
2420,Canisius College,25000,2858
2424,Cazenovia College,25740,1031
2425,Central Yeshiva Tomchei Tmimim Lubavitz,,650
2427,Christ the King Semiry,,
2429,Clarkson University,27000,3060
2432,Colgate Rochester Crozer Divinity School,,
2433,Colgate University,15625,2872
2434,Metropolitan College of New York,34375,911
2435,Columbia University in the City of New York,19435,7970
2438,Concordia College-New York,25000,856
2442,Cooper Union for the Advancement of Science and Art,17570,851
2443,Cornell University,12000,14309
2444,Weill Cornell Medical College,12000,
2447,Culiry Institute of America,16000,2814
2448,CUNY Berrd M Baruch College,11500,13698
2451,CUNY Brooklyn College,11000,12625
2452,College of Staten Island CUNY,16872,12974
2453,CUNY City College,12500,11820
2454,CUNY Graduate School and University Center,12500,1112
2456,CUNY Hunter College,10500,15697
2457,CUNY John Jay College of Crimil Justice,11500,12838
2460,CUNY Lehman College,9500,9020
2461,CUNY Medgar Evers College,7500,6085
2462,CUNY New York City College of Technology,10000,15917
2463,CUNY Queens College,11200,14424
2465,CUNY School of Law at Queens College,,
2466,CUNY York College,10000,7361
2468,D'Youville College,26000,1855
2469,Daemen College,23250,1971
2470,Yeshiva of Far Rockaway Derech Ayson Rabbinical Semiry,,57
2471,Dominican College of Blauvelt,29250,1505
2472,Dowling College,25000,1708
2476,Elmira College,27000,1315
2478,Fashion Institute of Technology,21009,8058
2480,Five Towns College,24915,740
2481,Fordham University,25000,8193
2485,The General Theological Semiry,,
2487,Hamilton College,16500,1909
2488,Hartwick College,27000,1607
2491,Hilbert College,25739.5,991
2492,Hobart William Smith Colleges,27000,2311
2493,Hofstra University,23900,6748
2494,Houghton College,23500,1047
2499,Io College,25250,3166
2502,Ithaca College,26300,6202
2504,Jamestown Business College,12080,275
2506,Jewish Theological Semiry of America,16000,161
2507,The Juilliard School,24277,498
2509,Kehilath Yakov Rabbinical Semiry,,120
2510,Keuka College,26897.5,1830
2511,LIM College,26184,1508
2512,Le Moyne College,25750,2619
2513,LIU Brooklyn,25000,4905
2514,LIU Post,25000,4067
2517,LIU Hudson at Rockland,25000,
2518,LIU Brentwood,25000,23
2519,Machzikei Hadath Rabbinical College,,148
2521,Manhattan College,25500,3403
2522,Manhattan School of Music,23950,377
2523,Manhattanville College,26000,1671
2524,Maria College of Albany,21000,866
2526,Marist College,25500,5295
2528,Marymount Manhattan College,23000,1783
2529,Medaille College,25000,1716
2532,Mercy College,22628.5,6897
2533,Mesivta Torah Vodaath Rabbinical Semiry,,207
2535,Mesivtha Tifereth Jerusalem of America,,50
2539,Mirrer Yeshiva Cent Institute,,160
2542,Molloy College,27000,3322
2543,Monroe College,19512,6426
2545,Mount Saint Mary College,25000,2155
2546,College of Mount Saint Vincent,28500,1635
2547,Icahn School of Medicine at Mount Sii,13000,
2549,zareth College,26497.5,1995
2551,The College of New Rochelle,21525,3207
2552,The New School,25494.5,6581
2554,New York Chiropractic College,,
2556,New York Law School,3000,
2557,New York Medical College,,
2559,New York Theological Semiry,,
2560,New York University,23250,22172
2562,Niagara University,25650,2841
2565,New York College of Podiatric Medicine,,
2566,New York Institute of Technology,25485,4307
2567,New York School of Interior Design,27000,394
2568,Nyack College,27000,1818
2569,Ohr Hameir Theological Semiry,,94
2573,Pace University-New York,25000,7883
2574,Paul Smiths College of Arts and Science,23250,978
2576,Plaza College,14278.5,726
2577,Polytechnic Institute of New York University,23250,2078
2578,Davis College,23850,247
2579,Pratt Institute-Main,27000,3247
2581,Rabbinical Academy Mesivta Rabbi Chaim Berlin,,164
2582,Rabbinical College Bobover Yeshiva Bnei Zion,,263
2583,Rabbinical College of Ch'san Sofer New York,,30
2584,Rabbinical College Beth Shraga,,47
2585,Rabbinical Semiry M'kor Chaim,,30
2586,Rabbinical College of Long Island,,96
2587,Rabbinical Semiry of America,,269
2588,Rensselaer Polytechnic Institute,27835.5,5379
2590,Roberts Wesleyan College,23200,1302
2592,Rochester Institute of Technology,27000,12587
2593,University of Rochester,26000,6047
2596,The Sage Colleges,22408.5,1661
2597,St Berrd's School of Theology and Ministry,,
2598,St Boventure University,27000,1787
2599,St Francis College,24000,2725
2601,St Lawrence University,27000,2391
2602,The College of Saint Rose,25000,2792
2603,St Thomas Aquis College,23200,1279
2605,Sarah Lawrence College,14812,1402
2607,Sh'or Yoshuv Rabbinical College,,190
2608,Sie College,26974,3102
2610,Skidmore College,20500,2646
2611,Saint Joseph's College-New York,22350,4408
2612,Saint Vladimirs Orthodox Theological Semiry,,
2616,Saint John Fisher College,25000,2948
2619,St John's University-New York,25920,11147
2623,SUNY College of Technology at Alfred,15500,3494
2624,SUNY College of Technology at Canton,18500,3354
2625,SUNY College of Technology at Delhi,15177.5,3206
2626,SUNY College of Agriculture and Technology at Cobleskill,17750,2411
2627,Farmingdale State College,15393,7455
2628,Morrisville State College,19639,2849
2629,SUNY at Albany,21500,12542
2630,SUNY at Binghamton,20500,12940
2631,University at Buffalo,20100,19365
2632,Stony Brook University,20173,15724
2633,SUNY College of Environmental Science and Forestry,20000,1694
2634,SUNY Institute of Technology at Utica-Rome,18000,1714
2635,SUNY College at Brockport,21500,7040
2636,Buffalo State SUNY,21665.5,9190
2637,SUNY College at Cortland,21654,6394
2638,SUNY at Fredonia,24250,5049
2639,SUNY College at Geneseo,20500,5463
2640,State University of New York at New Paltz,20500,6397
2641,SUNY Oneonta,22870.5,5759
2642,SUNY College at Oswego,23000,7245
2643,SUNY College at Potsdam,26000,3683
2644,SUNY at Purchase College,23250,4017
2645,SUNY College of Optometry,6150,
2646,SUNY College at Old Westbury,17000,4045
2647,SUNY College at Plattsburgh,22475.5,5494
2648,SUNY Downstate Medical Center,15250,346
2649,SUNY Empire State College,25000,9793
2650,SUNY Maritime College,27000,1565
2651,Upstate Medical University,19100,284
2652,Swedish Institute a College of Health Sciences,20000,848
2653,Syracuse University,27000,14738
2654,Talmudical Semiry Oholei Torah,,321
2655,Talmudical Institute of Upstate New York,,17
2656,Teachers College at Columbia University,,
2659,Torah Temimah Talmudical Semiry,,180
2660,Touro College,12500,6196
2661,Trocaire College,21439,1384
2662,Excelsior College,10453,37440
2665,Union College,26277.5,2206
2666,Union Theological Semiry in the City of New York,,
2667,United Talmudical Semiry,,1814
2668,United States Merchant Marine Academy,4211,958
2669,Utica College,25000,2831
2671,Vassar College,17545,2436
2672,Villa Maria College,24750,456
2673,School of Visual Arts,27000,3469
2674,Wagner College,27000,1830
2675,Webb Institute,,82
2676,Wells College,27000,526
2677,The College of Westchester,24944.5,1083
2682,Yeshiva Karlin Stolin,,119
2683,Yeshivat Mikdash Melech,,152
2684,Yeshiva Derech Chaim,,104
2685,Yeshiva of Nitra Rabbinical College,,220
2686,Yeshiva Shaar Hatorah,,75
2687,Yeshiva University,19361,2887
2688,Yeshivath Viznitz,,470
2689,Yeshivath Zichron Moshe,,164
2691,The Art Institute of Charlotte,27167,1427
2693,Appalachian State University,19526,15840
2695,Barton College,27500,1043
2697,Belmont Abbey College,27000,1634
2698,Bennett College,37000,612
2701,Brevard College,27000,700
2704,Cabarrus College of Health Sciences,16481,440
2706,Campbell University,24623.5,4463
2710,Catawba College,22780,1273
2712,South College-Asheville,26208,256
2715,Chowan University,32000,1361
2720,Davidson College,16662.5,1782
2721,Duke University,6500,6501
2723,East Caroli University,23775.5,20625
2725,Elizabeth City State University,24886,2276
2726,Elon University,24500,5599
2729,Fayetteville State University,21232,5077
2731,Gardner-Webb University,23377,2559
2733,Greensboro College,26375,802
2734,Guilford College,27325,2171
2738,Heritage Bible College,,67
2739,High Point University,25394.5,3996
2742,Laurel University,21250,386
2743,Johnson C Smith University,32000,1382
2745,Lees-McRae College,21000,888
2747,Lenoir-Rhyne University,25000,1409
2749,Livingstone College,40000,1172
2751,Mars Hill University,26750,1393
2756,Meredith College,27000,1543
2757,Methodist University,,2172
2758,Miller-Motte College-Wilmington,22091,2856
2764,Montreat College,27000,661
2765,Mount Olive College,26500,3336
2768,North Caroli A & T State University,23005.5,8577
2769,University of North Caroli at Asheville,20508,3323
2770,University of North Caroli at Chapel Hill,15906,17882
2771,University of North Caroli at Charlotte,23005,21400
2772,University of North Caroli at Greensboro,22500,14138
2773,North Caroli Central University,30203,5876
2774,University of North Caroli School of the Arts,26187.5,792
2775,North Caroli State University at Raleigh,20500,22977
2776,North Caroli Wesleyan College,22920,1602
2777,University of North Caroli Wilmington,20624,12178
2779,William Peace University,25488,999
2780,University of North Caroli at Pembroke,21000,5184
2781,Pfeiffer University,24180,947
2782,Piedmont Intertiol University,20500,197
2785,Queens University of Charlotte,25000,1703
2788,Mid-Atlantic Christian University,32445,161
2793,Saint Augustine's University,37000,1299
2794,Salem College,23000,950
2797,Shaw University,39748,1923
2799,St Andrews University,20412.5,573
2804,Southeastern Baptist Theological Semiry,,543
2809,Wake Forest University,22810,4812
2811,Warren Wilson College,21500,821
2817,Wingate University,25976.5,2002
2818,Caroli Christian College,17875,36
2820,Winston-Salem State University,27687,4877
2821,Western Caroli University,21249,8238
2822,Rasmussen College-North Dakota,23203,923
2823,Bismarck State College,12000,3233
2824,Dickinson State University,20362,1257
2825,Fort Berthold Community College,,181
2828,University of Jamestown,27000,923
2832,University of Mary,23152,1865
2833,Mayville State University,21652,763
2834,Sanford College of Nursing,13000,136
2835,Minot State University,22000,2693
2837,University of North Dakota,24500,11182
2840,North Dakota State University-Main Campus,25050,11629
2843,Sitting Bull College,,264
2844,Trinity Bible College,26500,195
2845,Turtle Mountain Community College,,537
2846,United Tribes Technical College,12697,486
2847,Valley City State University,22777.5,924
2851,Akron Institute of Herzing University,22822,298
2852,University of Akron Main Campus,26812,19022
2855,Allegheny Wesleyan College,,37
2858,Art Academy of Cincinti,27000,206
2860,Ashland University,27000,3118
2864,Baldwin Wallace University,27000,3331
2866,Bluffton University,27000,941
2869,Bowling Green State University-Main Campus,26000,14161
2870,Bryant & Stratton College-Parma,24260.5,662
2874,Capital University,27000,2647
2879,Case Western Reserve University,25000,4551
2880,Cedarville University,25000,3108
2883,Central State University,39068,2028
2887,Cincinti Christian University,27000,669
2888,Cincinti College of Mortuary Science,16655,81
2889,University of Cincinti-Main Campus,23947.5,23360
2891,University of Cincinti-Clermont College,23947.5,3015
2892,University of Cincinti-Blue Ash College,23947.5,4550
2893,Ohio Christian University,27000,3155
2896,Cleveland Institute of Art,28000,556
2898,Cleveland Institute of Music,27000,237
2899,Cleveland State University,24000,11484
2902,Columbus College of Art and Design,27000,1277
2907,University of Dayton,26863,7812
2908,Defiance College,27000,871
2909,Denison University,25000,2255
2913,Bryant & Stratton College-Cleveland,24260.5,538
2915,The University of Findlay,23250,2663
2916,Franklin University,25000,5129
2918,Gods Bible School and College,8680,259
2923,Hebrew Union College-Jewish Institute of Religion,,
2924,Heidelberg University,28974,1099
2925,Hiram College,27000,1260
2931,ITT Technical Institute-Dayton,25833.5,304
2933,John Carroll University,27000,3009
2934,Hondros College,18625,1656
2936,Kent State University at Ashtabula,26225,2221
2937,Kent State University at East Liverpool,26225,1529
2938,Kent State University at Stark,26225,4680
2939,Kent State University at Trumbull,26225,2944
2940,Kent State University at Tuscarawas,26225,2030
